ID,INCOME_LEVEL,SEX,AGE,TOWN,OCCUPATION,HEIGHT,1SIBLING,2HOME,3EDUC,4TRAVEL,5CREDIT,6CR SUM,7CARD,8PASTIME,9CHANGES,10DAILY TRAVEL,11TRAVEL MODE,12CONSCIOUS,13ACCOUNTS,14SUM,15MOBILE,16MOBTIME,17CAR,18INTERNET,19SPORT,20VEGAN,21CIVIL,22POLIT,23ILL,24MEDICINE,25DOCTOR,26COVID,27ADVERT,28CULTURE,29FOOD,30CHILDREN,31ROOMS,32VALUABLES,33CLOTHS,34JEWELS,35SMOKE,36ALCOHOL,37MUSIC,38FACE,39TWITTER,40ONLINE1,41ONLINE2,42TV,43REFURB,44MOVE,45TRAVDEST
75721,l1,male,45.32550609807798,Nagykanizsa,Lakatos ,171.77070084099387,0,0,2,1,1,2,1,2,2,0.978195315,0,0,0,-66907.66707,1,1,0,1,0,1,0,1,1,0,0,1,1,1,2,0,1,414.86765127975207,2,3,1,3,0,0,1,1,0,1,1,1,1
80184,l0,male,41.56480855,Nagybajcs,Lakatos ,174.4735119,4,0,1,1,1,1,1,3,3,0.002422194,0,0,0,6844.365949501502,1,0,0,0,0,1,0,1,1,0,5,1,0,0,2,1,4,43.90419231334383,2,3,1,2,1,1,0,1,0,1,0,0,3
19864,l0,male,37.44731294208038,Nagykanizsa,Szakorvos ,160.25101200532893,3,1,3,0,0,1,1,3,3,6.701441166949962,0,0,0,110363.75516773463,1,0,1,0,1,1,0,0,0,0,4,1,0,4,2,0,0,85189.49912591233,2,1,1,1,2,1,0,1,0,0,1,1,0
76699,l0,male,29.04787798404896,Budakeszi,Lakatos ,182.35937373747663,0,0,1,1,1,1,1,1,2,-0.009439544,0,0,1,252957.41829538785,0,0,1,0,0,0,0,0,1,0,3,1,0,1,2,0,3,523.0100758963817,2,3,1,0,1,1,0,1,0,0,0,0,1
92991,l0,male,58.71518347865016,Budakeszi,asztalos ,166.12027912930247,4,0,3,0,1,1,1,3,2,-0.036467658,0,0,0,44245.72973792725,1,0,0,0,1,0,0,1,1,1,0,0,0,1,2,0,3,98.79549766959452,2,3,0,1,2,1,1,1,2,0,0,0,1
76434,l1,male,32.889729321682346,Budakeszi,Szakorvos ,162.2648312782821,3,0,1,1,1,1,0,1,2,-0.002226548,0,0,0,276317.00577017374,1,1,1,0,1,0,1,1,1,0,5,1,0,1,2,0,1,169.4554653491697,3,2,1,3,1,1,1,0,0,1,1,1,1
84004,l1,male,46.71957012600632,Nagykanizsa,Lakatos ,173.87704155325068,3,1,4,1,1,2,1,1,2,0.970374661,1,0,1,159156.4988,1,1,0,0,1,0,1,0,0,0,1,1,0,3,1,0,0,532.7071092,1,1,1,3,2,1,0,2,1,0,0,0,1
80917,l1,male,39.003168169240666,Nagykanizsa,asztalos ,166.45515142300775,1,2,4,1,1,1,1,1,2,4.986964151,4,0,1,18317.520108446664,1,0,0,0,1,1,0,0,1,1,0,2,0,0,2,0,3,371.7584898384704,1,0,1,1,0,1,1,1,0,0,0,0,3
60767,l0,male,47.233130787852495,Nagykanizsa,asztalos ,173.80476300598752,4,0,1,1,1,1,1,1,3,2.000560528120154,1,0,1,25225.66651596364,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,126.77789727067488,1,0,1,0,2,1,0,1,0,1,0,0,1
50074,l0,male,54.09682447828244,Nagykanizsa,Szakorvos ,179.68664167713024,3,0,3,1,1,1,1,1,3,3.004636206572708,1,0,1,422065.1270336163,1,0,0,0,1,1,0,1,1,1,4,1,0,1,2,0,4,201.09140262555297,2,1,1,0,2,0,0,0,0,1,0,0,1
